"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Попытка создать баннер с существующими feature и tag ids","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","53","Успешное удаление баннера по тэгу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","0","Попытка получения баннера неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","2","Успешное получение смещённого списка баннеров","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","22","Тестирование апи метода DeleteBanner: DELETE /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","3","Попытка обновить баннер на существующие у другого баннера feature и tag ids","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","1","Попытка обновить баннер с неверным типом полей в теле запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","1","Попытка удалить не существующий баннер","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","5","Успешное получение списка баннеров","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","33","Тестирование апи метода GetAdminBanner: GET /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","2","Успешное получение активного баннера из кэша","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","2","Успешное получение ограниченного списка баннеров по числу","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","179","Тестирование апи метода CreateBanner: POST /banner","","2026-06-20","passed","2026-06-20","","ApiSuite","",""
"","6","Успешное обновление баннера с одним из полей","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","0","Попытка удалить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","7","Успешное обновление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода UpdateBanner: PATCH /banner","",""
"","1","Успешное получение активного баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка удалить баннер пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteFilterBanner: DELETE /filter_banner","",""
"","3","Успешное получение активного баннера с обязательным запросом к базе после кэширования","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","5","Успешное удаление баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка получения баннера пользователя с неверными правами","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка получить список баннеров с неверным типом параметра в строке запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetAdminBanner: GET /banner","",""
"","0","Попытка удалить баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода DeleteBanner: DELETE /banner","",""
"","0","Попытка создать баннер неавторизованным пользователем","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","0","Попытка получения баннера с некорректными параметрами запроса","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка получения неактивного баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
"","0","Попытка создать баннер с неверным телом в запросе","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","81","Успешное создание баннера","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода CreateBanner: POST /banner","",""
"","1","Успешное получение активного баннера с указанной версией","ApiSuite","2026-06-20","passed","2026-06-20","","Тестирование апи метода GetUserBanner: GET /user_banner","",""
